0.093962	2.267000	0
0.124181	4.162750	7
0.338000	3.514455	4
0.338000	3.337665	3
0.470442	3.690033	5
0.784262	5.942293	1
1.440098	4.440000	6
2.431267	5.062203	0
3.438806	5.403838	3
3.514455	6.514000	4
4.227540	7.305059	7
4.822035	7.822000	5
5.120930	7.751866	0
5.533877	9.593980	3
6.349506	9.939013	1
6.968663	11.366753	4
8.091978	11.092000	6
8.850198	11.850000	5
10.421636	13.679340	1
11.366753	15.978227	6
11.587661	14.388000	4
12.452022	15.452000	5
14.207209	16.952126	1
14.841043	20.825658	4
15.642210	18.642000	5
16.115379	21.006402	6
18.445240	21.265567	1
19.170528	22.171000	5
21.006402	27.252091	4
21.265567	26.641808	6
21.733108	24.975730	1
23.389808	26.390000	5
25.247205	29.530483	1
26.477087	30.387639	5
27.053265	31.613574	6
29.937696	32.984252	1
30.519951	32.489929	5
32.230759	36.173884	6
33.298502	36.299000	5
34.100317	38.700316	1
36.413900	40.151297	6
36.415183	38.943811	5
39.076122	42.076000	5
39.756053	43.873429	1
40.597041	48.174698	6
55.682606	59.860309	1
61.238442	71.250550	6
68.728503	71.895715	1
74.782218	83.765685	6
89.286060	96.726565	6
101.869771	106.498657	6
113.150537	122.614036	6
125.768536	134.614851	6
